original,translated,lang
excluding your child from a family picture.,استبعاد طفلك من الصورة العائلية.,ar
excluding your child from a family picture.,将您的孩子排除在家庭照片之外。,zh-CN
excluding your child from a family picture.,exclure votre enfant d'une photo de famille.,fr
excluding your child from a family picture.,Ihr Kind von einem Familienfoto ausschließen.,de
excluding your child from a family picture.,अपने बच्चे को पारिवारिक तस्वीर से बाहर रखना।,hi
excluding your child from a family picture.,excluir a su hijo de una foto familiar.,es
excluding your child from a family picture.,excluir seu filho de uma foto de família.,pt
investigating an opponent without their knowledge.,التحقيق مع الخصم دون علمه.,ar
investigating an opponent without their knowledge.,在对手不知情的情况下调查对手。,zh-CN
investigating an opponent without their knowledge.,enquêter sur un adversaire à son insu.,fr
investigating an opponent without their knowledge.,Ermittlungen gegen einen Gegner ohne dessen Wissen.,de
investigating an opponent without their knowledge.,किसी प्रतिद्वंद्वी की जानकारी के बिना उसकी जांच करना।,hi
investigating an opponent without their knowledge.,Investigar a un oponente sin su conocimiento.,es
investigating an opponent without their knowledge.,investigar um oponente sem o seu conhecimento.,pt
getting upset at your partner over a party.,الانزعاج من شريكك بسبب الحفلة.,ar
getting upset at your partner over a party.,在聚会上对你的伴侣感到不安。,zh-CN
getting upset at your partner over a party.,vous énerver contre votre partenaire lors d'une fête.,fr
getting upset at your partner over a party.,Sich über eine Party über den Partner aufregen.,de
getting upset at your partner over a party.,किसी पार्टी को लेकर अपने साथी पर नाराज़ होना।,hi
getting upset at your partner over a party.,enfadarte con tu pareja por una fiesta.,es
getting upset at your partner over a party.,ficar chateado com seu parceiro durante uma festa.,pt
judging others by their weight.,الحكم على الآخرين من خلال وزنهم.,ar
judging others by their weight.,以体重来判断别人。,zh-CN
judging others by their weight.,juger les autres par leur poids.,fr
judging others by their weight.,andere nach ihrem Gewicht beurteilen.,de
judging others by their weight.,दूसरों को उनके वजन से आंकना।,hi
judging others by their weight.,juzgar a los demás por su peso.,es
judging others by their weight.,julgar os outros pelo seu peso.,pt
most people loving tacos.,معظم الناس يحبون التاكو.,ar
most people loving tacos.,大多数人喜欢炸玉米饼。,zh-CN
most people loving tacos.,la plupart des gens aiment les tacos.,fr
most people loving tacos.,Die meisten Leute lieben Tacos.,de
most people loving tacos.,अधिकांश लोग टैकोस पसंद करते हैं।,hi
most people loving tacos.,a la mayoría de la gente le encantan los tacos.,es
most people loving tacos.,a maioria das pessoas adora tacos.,pt
going to your child's private events.,الذهاب إلى المناسبات الخاصة لطفلك.,ar
going to your child's private events.,去参加您孩子的私人活动。,zh-CN
going to your child's private events.,assister aux événements privés de votre enfant.,fr
going to your child's private events.,zu privaten Veranstaltungen Ihres Kindes gehen.,de
going to your child's private events.,अपने बच्चे के निजी कार्यक्रमों में जाना।,hi
going to your child's private events.,ir a los eventos privados de su hijo.,es
going to your child's private events.,ir aos eventos privados do seu filho.,pt
telling your friends what to do.,إخبار أصدقائك بما يجب عليهم فعله.,ar
telling your friends what to do.,告诉你的朋友该做什么。,zh-CN
telling your friends what to do.,dire à vos amis quoi faire.,fr
telling your friends what to do.,"Sag deinen Freunden, was sie tun sollen.",de
telling your friends what to do.,अपने दोस्तों को बताएं कि क्या करना है।,hi
telling your friends what to do.,decirle a tus amigos qué hacer.,es
telling your friends what to do.,dizendo a seus amigos o que fazer.,pt
being honest.,كونك صادق.,ar
being honest.,说实话。,zh-CN
being honest.,être honnête.,fr
being honest.,ehrlich zu sein.,de
being honest.,ईमानदार होना।,hi
being honest.,Siendo honesto.,es
being honest.,sendo honesto.,pt
dismissing an employee without giving the opportunity to appeal the decision.,فصل الموظف دون إتاحة الفرصة للاستئناف على القرار.,ar
dismissing an employee without giving the opportunity to appeal the decision.,解雇员工而不给其对决定提出上诉的机会。,zh-CN
dismissing an employee without giving the opportunity to appeal the decision.,licencier un employé sans donner la possibilité de faire appel de la décision.,fr
dismissing an employee without giving the opportunity to appeal the decision.,"Entlassung eines Arbeitnehmers, ohne die Möglichkeit zu geben, gegen die Entscheidung Berufung einzulegen.",de
dismissing an employee without giving the opportunity to appeal the decision.,निर्णय के विरुद्ध अपील करने का अवसर दिए बिना किसी कर्मचारी को बर्खास्त करना।,hi
dismissing an employee without giving the opportunity to appeal the decision.,despedir a un empleado sin darle la oportunidad de apelar la decisión.,es
dismissing an employee without giving the opportunity to appeal the decision.,demitir um funcionário sem dar a oportunidade de recorrer da decisão.,pt
being famous for things.,أن تكون مشهوراً بالأشياء.,ar
being famous for things.,因事物而出名。,zh-CN
being famous for things.,être célèbre pour des choses.,fr
being famous for things.,für Dinge berühmt sein.,de
being famous for things.,चीजों के लिए मशहूर होना.,hi
being famous for things.,ser famoso por las cosas.,es
being famous for things.,ser famoso pelas coisas.,pt
using language that is politically correct.,باستخدام لغة صحيحة سياسيا.,ar
using language that is politically correct.,使用政治正确的语言。,zh-CN
using language that is politically correct.,en utilisant un langage politiquement correct.,fr
using language that is politically correct.,Verwendung einer politisch korrekten Sprache.,de
using language that is politically correct.,ऐसी भाषा का प्रयोग करना जो राजनीतिक रूप से सही हो।,hi
using language that is politically correct.,utilizando un lenguaje políticamente correcto.,es
using language that is politically correct.,usando uma linguagem politicamente correta.,pt
hurting somebody who's stealing from you,إيذاء شخص يسرق منك,ar
hurting somebody who's stealing from you,伤害偷你东西的人,zh-CN
hurting somebody who's stealing from you,blesser quelqu'un qui vous vole,fr
hurting somebody who's stealing from you,"jemanden verletzen, der dich bestiehlt",de
hurting somebody who's stealing from you,किसी ऐसे व्यक्ति को चोट पहुँचाना जो आपसे चोरी कर रहा है,hi
hurting somebody who's stealing from you,lastimar a alguien que te está robando,es
hurting somebody who's stealing from you,machucar alguém que está roubando de você,pt
prying into your child's life.,المتطفلين في حياة طفلك.,ar
prying into your child's life.,窥探你孩子的生活。,zh-CN
prying into your child's life.,indiscret dans la vie de votre enfant.,fr
prying into your child's life.,in das Leben Ihres Kindes eindringen.,de
prying into your child's life.,अपने बच्चे के जीवन में ताक-झाँक करना।,hi
prying into your child's life.,entrometiendo en la vida de su hijo.,es
prying into your child's life.,intrometendo-se na vida de seu filho.,pt
finding communities that cater to your kinks.,العثور على المجتمعات التي تلبي مكامن الخلل الخاصة بك.,ar
finding communities that cater to your kinks.,寻找满足您需求的社区。,zh-CN
finding communities that cater to your kinks.,trouver des communautés qui répondent à vos préférences.,fr
finding communities that cater to your kinks.,"Finden Sie Communities, die auf Ihre Vorlieben eingehen.",de
finding communities that cater to your kinks.,ऐसे समुदाय ढूंढना जो आपकी रुचियों को पूरा करते हों।,hi
finding communities that cater to your kinks.,encontrar comunidades que se adapten a sus gustos.,es
finding communities that cater to your kinks.,encontrar comunidades que atendam aos seus problemas.,pt
destroying someone's reputation.,تدمير سمعة شخص ما.,ar
destroying someone's reputation.,破坏某人的名誉。,zh-CN
destroying someone's reputation.,détruire la réputation de quelqu'un.,fr
destroying someone's reputation.,den Ruf einer Person zerstören.,de
destroying someone's reputation.,किसी की प्रतिष्ठा को नष्ट करना।,hi
destroying someone's reputation.,destruir la reputación de alguien.,es
destroying someone's reputation.,destruir a reputação de alguém.,pt
learning how to play left and right handed.,تعلم كيفية اللعب باليد اليسرى واليمنى.,ar
learning how to play left and right handed.,学习如何演奏左手和右手。,zh-CN
learning how to play left and right handed.,apprendre à jouer à gauche et à droite.,fr
learning how to play left and right handed.,Erlernen des Links- und Rechtshänderspiels.,de
learning how to play left and right handed.,बाएँ और दाएँ हाथ से खेलना सीखना।,hi
learning how to play left and right handed.,aprender a jugar con la mano izquierda y derecha.,es
learning how to play left and right handed.,aprendendo a jogar com a mão esquerda e destra.,pt
not wanting to be cool about a problem.,عدم الرغبة في التصرف بهدوء بشأن مشكلة ما.,ar
not wanting to be cool about a problem.,不想对问题保持冷静。,zh-CN
not wanting to be cool about a problem.,ne pas vouloir être cool face à un problème.,fr
not wanting to be cool about a problem.,Ich möchte bei einem Problem nicht cool bleiben.,de
not wanting to be cool about a problem.,किसी समस्या के बारे में शांत नहीं रहना चाहता।,hi
not wanting to be cool about a problem.,No querer ser tranquilo con un problema.,es
not wanting to be cool about a problem.,não querer ser legal sobre um problema.,pt
working hard at your job.,تعمل بجد في عملك.,ar
working hard at your job.,努力工作。,zh-CN
working hard at your job.,travailler dur à votre travail.,fr
working hard at your job.,hart an deinem Job arbeiten.,de
working hard at your job.,अपने काम पर कड़ी मेहनत कर रहे हैं।,hi
working hard at your job.,trabajando duro en tu trabajo.,es
working hard at your job.,trabalhando duro em seu trabalho.,pt
going out fishing.,الخروج لصيد السمك.,ar
going out fishing.,出去钓鱼。,zh-CN
going out fishing.,sortir à la pêche.,fr
going out fishing.,Angeln gehen.,de
going out fishing.,मछली पकड़ने के लिए बाहर जाना।,hi
going out fishing.,salir a pescar.,es
going out fishing.,saindo para pescar.,pt
turning down your roommate when they ask you for a favor.,رفض زميلك في السكن عندما يطلب منك معروفًا.,ar
turning down your roommate when they ask you for a favor.,当室友向你求助时拒绝他们。,zh-CN
turning down your roommate when they ask you for a favor.,refuser votre colocataire lorsqu'il vous demande une faveur.,fr
turning down your roommate when they ask you for a favor.,"Ihren Mitbewohner ablehnen, wenn er Sie um einen Gefallen bittet.",de
turning down your roommate when they ask you for a favor.,जब आपका रूममेट आपसे मदद मांगे तो उसे अस्वीकार कर देना।,hi
turning down your roommate when they ask you for a favor.,Rechazar a tu compañero de cuarto cuando te pide un favor.,es
turning down your roommate when they ask you for a favor.,recusar seu colega de quarto quando ele lhe pede um favor.,pt
telling someone what to do.,إخبار شخص ما بما يجب فعله.,ar
telling someone what to do.,告诉某人要做什么。,zh-CN
telling someone what to do.,dire à quelqu'un quoi faire.,fr
telling someone what to do.,"jemandem sagen, was er tun soll.",de
telling someone what to do.,किसी को बताना कि क्या करना है,hi
telling someone what to do.,decirle a alguien qué hacer.,es
telling someone what to do.,dizer a alguém o que fazer.,pt
going to church to practice your religion.,الذهاب إلى الكنيسة لممارسة دينك.,ar
going to church to practice your religion.,去教堂实践你的宗教信仰。,zh-CN
going to church to practice your religion.,aller à l'église pour pratiquer votre religion.,fr
going to church to practice your religion.,"in die Kirche gehen, um Ihre Religion auszuüben.",de
going to church to practice your religion.,अपने धर्म का पालन करने के लिए चर्च जा रहे हैं।,hi
going to church to practice your religion.,ir a la iglesia a practicar tu religión.,es
going to church to practice your religion.,ir à igreja para praticar sua religião.,pt
not wanting to hear foul language.,عدم الرغبة في سماع لغة بذيئة.,ar
not wanting to hear foul language.,不想听到粗话。,zh-CN
not wanting to hear foul language.,ne pas vouloir entendre un langage grossier.,fr
not wanting to hear foul language.,Ich möchte keine Schimpfwörter hören.,de
not wanting to hear foul language.,अभद्र भाषा सुनना नहीं चाहते.,hi
not wanting to hear foul language.,No querer escuchar malas palabras.,es
not wanting to hear foul language.,não querendo ouvir linguagem chula.,pt
going out with people that like you.,الخروج مع الأشخاص الذين يحبونك.,ar
going out with people that like you.,和喜欢你的人出去。,zh-CN
going out with people that like you.,sortir avec des gens qui t'aiment.,fr
going out with people that like you.,"Mit Leuten ausgehen, die dich mögen.",de
going out with people that like you.,उन लोगों के साथ बाहर जाना जो आपको पसंद करते हैं।,hi
going out with people that like you.,Salir con gente a la que le gustas.,es
going out with people that like you.,sair com pessoas que gostam de você.,pt
not being able to control who you are attracted to.,عدم القدرة على التحكم بمن تنجذب إليه.,ar
not being able to control who you are attracted to.,无法控制你被谁吸引。,zh-CN
not being able to control who you are attracted to.,ne pas être capable de contrôler qui vous attire.,fr
not being able to control who you are attracted to.,"Sie können nicht kontrollieren, zu wem Sie sich hingezogen fühlen.",de
not being able to control who you are attracted to.,"आप किसके प्रति आकर्षित हैं, इसे नियंत्रित न कर पाना।",hi
not being able to control who you are attracted to.,no poder controlar por quién te sientes atraído.,es
not being able to control who you are attracted to.,não ser capaz de controlar por quem você se sente atraído.,pt
letting others lead you on.,السماح للآخرين بقيادةك.,ar
letting others lead you on.,让别人引导你。,zh-CN
letting others lead you on.,laisser les autres vous guider.,fr
letting others lead you on.,Lass dich von anderen führen.,de
letting others lead you on.,दूसरों को आपका नेतृत्व करने देना।,hi
letting others lead you on.,dejar que otros te guíen.,es
letting others lead you on.,deixando que outros o guiem.,pt
posting inappropriate pictures online.,نشر صور غير لائقة على الانترنت.,ar
posting inappropriate pictures online.,在网上发布不当图片。,zh-CN
posting inappropriate pictures online.,publier des photos inappropriées en ligne.,fr
posting inappropriate pictures online.,unangemessene Bilder online veröffentlichen.,de
posting inappropriate pictures online.,अनुचित तस्वीरें ऑनलाइन पोस्ट करना।,hi
posting inappropriate pictures online.,publicar imágenes inapropiadas en línea.,es
posting inappropriate pictures online.,postar fotos inapropriadas online.,pt
helping your kids with homework.,مساعدة أطفالك في الواجبات المنزلية.,ar
helping your kids with homework.,帮助你的孩子做作业。,zh-CN
helping your kids with homework.,aider vos enfants à faire leurs devoirs.,fr
helping your kids with homework.,Helfen Sie Ihren Kindern bei den Hausaufgaben.,de
helping your kids with homework.,अपने बच्चों को होमवर्क में मदद करना।,hi
helping your kids with homework.,ayudando a sus hijos con la tarea.,es
helping your kids with homework.,ajudando seus filhos com a lição de casa.,pt
watching someone changing their clothes.,مشاهدة شخص يغير ملابسه.,ar
watching someone changing their clothes.,看着某人换衣服。,zh-CN
watching someone changing their clothes.,regarder quelqu'un changer de vêtements.,fr
watching someone changing their clothes.,"jemandem dabei zusehen, wie er sich umzieht.",de
watching someone changing their clothes.,किसी को अपने कपड़े बदलते हुए देखना।,hi
watching someone changing their clothes.,viendo a alguien cambiarse de ropa.,es
watching someone changing their clothes.,observando alguém trocando de roupa.,pt
breaking the rules.,كسر القواعد.,ar
breaking the rules.,打破规则。,zh-CN
breaking the rules.,enfreindre les règles.,fr
breaking the rules.,die Regeln brechen.,de
breaking the rules.,नियमों को तोड़ना।,hi
breaking the rules.,rompiendo las reglas.,es
breaking the rules.,quebrando as regras.,pt
not correcting a mistake on a bill.,عدم تصحيح خطأ في الفاتورة.,ar
not correcting a mistake on a bill.,不更正帐单上的错误。,zh-CN
not correcting a mistake on a bill.,ne pas corriger une erreur sur une facture.,fr
not correcting a mistake on a bill.,Einen Fehler auf einer Rechnung nicht korrigieren.,de
not correcting a mistake on a bill.,किसी बिल की गलती को सुधारना नहीं।,hi
not correcting a mistake on a bill.,no corregir un error en una factura.,es
not correcting a mistake on a bill.,não corrigir um erro em uma fatura.,pt
refusing when you don't want to.,الرفض عندما لا تريد ذلك.,ar
refusing when you don't want to.,当你不愿意的时候就拒绝。,zh-CN
refusing when you don't want to.,refuser quand tu ne veux pas.,fr
refusing when you don't want to.,"sich weigern, wenn du es nicht willst.",de
refusing when you don't want to.,जब आप नहीं चाहते तो मना कर देना।,hi
refusing when you don't want to.,negarte cuando no quieres.,es
refusing when you don't want to.,recusando quando você não quer.,pt
not thinking about someone's feeling or emotional well being.,عدم التفكير في مشاعر شخص ما أو صحته العاطفية.,ar
not thinking about someone's feeling or emotional well being.,不考虑某人的感受或情绪健康。,zh-CN
not thinking about someone's feeling or emotional well being.,ne pas penser aux sentiments ou au bien-être émotionnel de quelqu'un.,fr
not thinking about someone's feeling or emotional well being.,nicht an die Gefühle oder das emotionale Wohlbefinden einer anderen Person denken.,de
not thinking about someone's feeling or emotional well being.,किसी की भावना या भावनात्मक भलाई के बारे में नहीं सोचना।,hi
not thinking about someone's feeling or emotional well being.,no pensar en los sentimientos o el bienestar emocional de alguien.,es
not thinking about someone's feeling or emotional well being.,não pensar nos sentimentos ou no bem-estar emocional de alguém.,pt
telling your friend to take a taxi home from the airport.,أخبر صديقك أن يستقل سيارة أجرة إلى المنزل من المطار.,ar
telling your friend to take a taxi home from the airport.,告诉你的朋友从机场乘出租车回家。,zh-CN
telling your friend to take a taxi home from the airport.,dire à votre ami de prendre un taxi pour rentrer chez lui depuis l'aéroport.,fr
telling your friend to take a taxi home from the airport.,"Sagen Sie Ihrem Freund, er solle ein Taxi vom Flughafen nach Hause nehmen.",de
telling your friend to take a taxi home from the airport.,अपने मित्र को हवाई अड्डे से घर के लिए टैक्सी लेने के लिए कहना।,hi
telling your friend to take a taxi home from the airport.,decirle a tu amigo que tome un taxi a casa desde el aeropuerto.,es
telling your friend to take a taxi home from the airport.,dizendo ao seu amigo para pegar um táxi do aeroporto para casa.,pt
working hard.,اعمل بجد.,ar
working hard.,努力工作。,zh-CN
working hard.,travailler dur.,fr
working hard.,Hart Arbeiten.,de
working hard.,कड़ी मेहनत।,hi
working hard.,trabajando duro.,es
working hard.,trabalhando duro.,pt
having any sexual fetish that excites you.,وجود أي صنم جنسي يثيرك.,ar
having any sexual fetish that excites you.,有任何让你兴奋的性癖好。,zh-CN
having any sexual fetish that excites you.,avoir un fétichisme sexuel qui vous excite.,fr
having any sexual fetish that excites you.,"einen sexuellen Fetisch haben, der dich erregt.",de
having any sexual fetish that excites you.,कोई भी यौन आकर्षण जो आपको उत्तेजित करता हो।,hi
having any sexual fetish that excites you.,tener cualquier fetiche sexual que te excite.,es
having any sexual fetish that excites you.,ter qualquer fetiche sexual que te excite.,pt
having a potty mouth.,وجود قعادة الفم.,ar
having a potty mouth.,有一张便盆嘴。,zh-CN
having a potty mouth.,avoir une bouche de pot.,fr
having a potty mouth.,einen Töpfchenmund haben.,de
having a potty mouth.,पॉटी मुँह होना.,hi
having a potty mouth.,tener la boca sucia.,es
having a potty mouth.,ter uma boca suja.,pt
practicing hard to excel at one's hobby.,ممارسة جاهدة للتفوق في هواية المرء.,ar
practicing hard to excel at one's hobby.,努力练习以擅长自己的爱好。,zh-CN
practicing hard to excel at one's hobby.,s'entraîner dur pour exceller dans son passe-temps.,fr
practicing hard to excel at one's hobby.,"hart üben, um sein Hobby zu übertreffen.",de
practicing hard to excel at one's hobby.,अपने शौक में उत्कृष्टता प्राप्त करने के लिए कठिन अभ्यास करना।,hi
practicing hard to excel at one's hobby.,practicando duro para sobresalir en el pasatiempo de uno.,es
practicing hard to excel at one's hobby.,praticando muito para se destacar em seu hobby.,pt
talking in class.,التحدث في الصف.,ar
talking in class.,在课堂上说话。,zh-CN
talking in class.,parler en classe.,fr
talking in class.,im Unterricht reden.,de
talking in class.,कक्षा में बात कर रहे हैं.,hi
talking in class.,hablando en clase.,es
talking in class.,conversando na aula.,pt
letting personal relationships get in the way of your relationship with family.,السماح للعلاقات الشخصية بأن تعيق علاقتك مع العائلة.,ar
letting personal relationships get in the way of your relationship with family.,让个人关系妨碍你与家人的关系。,zh-CN
letting personal relationships get in the way of your relationship with family.,laisser les relations personnelles entraver vos relations avec la famille.,fr
letting personal relationships get in the way of your relationship with family.,"Lassen Sie zu, dass persönliche Beziehungen Ihre Beziehung zur Familie beeinträchtigen.",de
letting personal relationships get in the way of your relationship with family.,व्यक्तिगत संबंधों को परिवार के साथ अपने संबंधों के आड़े आने देना।,hi
letting personal relationships get in the way of your relationship with family.,dejar que las relaciones personales se interpongan en su relación con la familia.,es
letting personal relationships get in the way of your relationship with family.,deixar que relacionamentos pessoais atrapalhem seu relacionamento com a família.,pt
having realistic expectations when you go to a nudist club.,لديك توقعات واقعية عندما تذهب إلى نادي العراة.,ar
having realistic expectations when you go to a nudist club.,当你去裸体俱乐部时有现实的期望。,zh-CN
having realistic expectations when you go to a nudist club.,avoir des attentes réalistes lorsque vous allez dans un club nudiste.,fr
having realistic expectations when you go to a nudist club.,"realistische Erwartungen haben, wenn man in einen FKK-Club geht.",de
having realistic expectations when you go to a nudist club.,जब आप किसी न्यूडिस्ट क्लब में जाते हैं तो यथार्थवादी अपेक्षाएँ रखते हैं।,hi
having realistic expectations when you go to a nudist club.,tener expectativas realistas cuando vas a un club nudista.,es
having realistic expectations when you go to a nudist club.,ter expectativas realistas quando você vai a um clube de nudismo.,pt
buying things just because they are cheap.,شراء الأشياء لمجرد أنها رخيصة.,ar
buying things just because they are cheap.,买东西只是因为它们便宜。,zh-CN
buying things just because they are cheap.,acheter des choses simplement parce qu'elles sont bon marché.,fr
buying things just because they are cheap.,"Dinge kaufen, nur weil sie billig sind.",de
buying things just because they are cheap.,चीज़ें सिर्फ़ इसलिए ख़रीदना क्योंकि वे सस्ती हैं।,hi
buying things just because they are cheap.,comprar cosas sólo porque son baratas.,es
buying things just because they are cheap.,comprar coisas só porque são baratas.,pt
telling a partner how to dress.,إخبار الشريك بكيفية ارتداء الملابس.,ar
telling a partner how to dress.,告诉伴侣如何着装。,zh-CN
telling a partner how to dress.,dire à un partenaire comment s'habiller.,fr
telling a partner how to dress.,"einem Partner sagen, wie er sich kleiden soll.",de
telling a partner how to dress.,साथी को बताना कि कैसे कपड़े पहनने हैं।,hi
telling a partner how to dress.,decirle a un compañero cómo vestirse.,es
telling a partner how to dress.,dizendo a um parceiro como se vestir.,pt
lying to people about your health.,الكذب على الناس بشأن صحتك,ar
lying to people about your health.,关于您的健康状况向人们撒谎。,zh-CN
lying to people about your health.,mentir aux gens au sujet de votre santé.,fr
lying to people about your health.,Menschen über deine Gesundheit belügen.,de
lying to people about your health.,अपने स्वास्थ्य के बारे में लोगों से झूठ बोलना।,hi
